Brand,Processor_Speed,RAM_Size,Storage_Capacity,Screen_Size,Weight,Price,Price_Hashed,Price_Encripted,RAM_Size_Encrypted
Asus,3.830295706209031,16,512,11.185147425848434,2.6410944247109853,17395.093064560457,e33562234b73b4ecad16901885fd503f2c4c20996e22d914da21be26f8b6a6d9,gAAAAABoGROXm3Xycw0eZILsJ4YpgIytKg4E6tDdYiRwVGL4nDLlgDP1i9ushKpUCKEjrL1hUXFT6TiQmycqwGXlmCZevxmScp6COZYRuvPKC0qb0EGsros=,gAAAAABoGROXn6fYD6XLwi1LlsaKQlfKK737utYswq3NlV9-djqY_eCIbz9Mq1-AJSCOsz9b3DS7AByGn2ScZ68YmBNAUzYNtA==
Acer,2.912832958973022,4,1000,11.311371797110466,3.2600122222442147,31607.60591926617,80fe437d4a9c57c4038198b7cf32f93b9f957bb705b8e10a7d481662d5c79829,gAAAAABoGROXPjIpJ93PRROeDQ2b3uIkNMaaV1ugtrymeyFKe1fTr8-S3I9Gendy5dW0yIR9WvBa0Gc0LWzOTDZj4vSoAZWb-xiz7zX-os-bL8ln5mQ9BN4=,gAAAAABoGROX-4hZkml_rr1XZLKHlE-tK8mE8_j1woDuT93OMT3YdrnqMFqkK2ooDLJ4oy2edShYKKe7a1QtIa44O5RchbSmfw==
Lenovo,3.2416270596922305,4,256,11.853022680223374,2.029060648222903,9291.023542338657,6254a5a18d60d796eb464283ef38f9417e12885a07742e2e9b9d09e24b6f772b,gAAAAABoGROXmcQxT0x2NBYR4mTbALdWF0W0oYhSbfwwnlOUwrj5AONFLBVXCOO7K4IjssPATVY6hPFfuumGeg2LV5ltP5P-Q3L6IYkequrNMM4GGyfvqF4=,gAAAAABoGROXHuf9IDyPUCicHgPTF9bSxOlEOlpc_JYd4IC4Ln0M7C_A-WbiTcuhcSGi-Q29bBpHSrJxTbbcjIPVxiGl3Ye77A==
Acer,3.80624845294324,16,512,12.280360087854138,4.573865272745172,17436.72833420527,1f2910923c33a53b30bc7e6eb731307eb2e2366b3811b68769aaeafb80458375,gAAAAABoGROXcJXL-wkRUuSNyEdqYPSfNbwhS745HyO8ECKjGBvd_0_xUziW3zcGFd6FOiV5mtYkswfRV69VKgvHTSb91wrzPKAks8vUVIH2Y1i16abEbYI=,gAAAAABoGROXODp1ee70io5BdRkvR8g05vFlSSOGex2gk7cPh3_C4bCaHS1TL83Ehmsd522zFihmcr4HXp3xrxlcRZAwycC2KA==
Acer,3.2680965857834963,32,1000,14.990877165430431,4.193472033364752,32917.990718167515,f90738a55c90c1e31a4fb6d35f92306ff03a87001a9408b5a82a9083bcc18417,gAAAAABoGROX7hxD1P-16CBRMAga8ElVhj2i-PNzohvolAPl_fsQdgASg1BOr4Kb2V6f45X1vDKkjandDm3Eips8LHH11h5hz8PEqutAoa7nJBVokG3eRL4=,gAAAAABoGROXlOf4tTOJpWptL7ib_tOZWxR8JHq_gSGnRX2hkJdZArAa_HqW3yPaAsKjmDQvz6dxGkXtzZCMnGuK3DTIcZlDXQ==
HP,1.8813476072856532,16,256,11.94395768001097,4.84026810552111,9543.719980129945,152ff98902e83cca39225afe41781193058d58e2821954fd6dc48939e53a6335,gAAAAABoGROXm9CDz49TmlyeiLGhQs6J631MzObRXb2A9_J-0GOBW71rOmmS8w2dooMqKZXS5uhRO3dsrltlgkBb0xAJOJtp1zBvaSn_SqJ4X-lgwjVfQiA=,gAAAAABoGROXnYEFYBKBgMNgnD2q2a1meZXUx9Xlhn5s-QaJn_f0kYrJ3vwmi0bfqU1g31YnQPevFA05vAb1FARe7KpMV5bM9g==
Lenovo,2.940720900417033,32,256,11.713246347062432,4.344846437589197,10390.13731921554,90d3e3d05c2cf26f052a507df2d7af7733f4784154877c484f593724ba56eb56,gAAAAABoGROX-d5yOg-uBN0rByChWsPRvrsLOYs5-LyrVwADsG2ozHJZZh0GzGnv1kgpLqhY_9PZM0vDxfrqyo-Ezxc3ZgDuvCqX45ClZ4JGYRrFYBWTxms=,gAAAAABoGROXrr3sa3mcF6IxSo_YCs_TuoKivA_aqasZdNXNuV4PqiHRqdqs5xtAwZNdt1GweaubhJUijNU7jFaNXLpWZ7g_0g==
Lenovo,3.01678761595714,4,256,15.588314848857674,2.9411195361561955,9214.484505999935,981559f507d2055d3f2ff381b07fab0a3af19f070280bb2faa716381c4b55c39,gAAAAABoGROXS3EriBtaLxSCnJRgWYH0CElwBgPWWRwjSUYj7uR8ECldqk5Y5uFBa2eXHSLLds03f27BMAJWxwSFawl9tXnxrF72bM1JyY9Dn8IkZdko9S4=,gAAAAABoGROX3hgfdjsCB9qbSYenG52lp0uAGpjwCMKG9hHgrPoRxvkjVpqjKZO7NsR9KZFPeR8nxduXs8MPpHVge3fK0b1f9w==
Lenovo,2.560326678255965,4,512,15.026331703159489,2.743620076185271,16372.175283874409,9d1993a7420329974c5b60f45bcc22a92da4598d58acb160db849eda7abb194c,gAAAAABoGROX4g-pj_bEaO13VuJPK0PVfoSmScrVh_FR2KN39TvUPUYAJUqS2qzOz7ZjnC1Ua1ThihqdPClpQ1PWwYGV6lPOcLpOxrN89V66wuXMDopYJwQ=,gAAAAABoGROXHC6zzWFfvgO77dSaFVszFbmAvk6GOXrGm4ozUrFBEBou1rJskqH-sUIF7poDUrHQ_X64bxqwvMcpIsBW_6wqZg==
Acer,3.341110589061807,32,512,13.611945328731418,4.093148922659879,18501.83273321414,1ab75c9a76df5af1a9800bc1c2394bff5334234916f1049bd6f4ad86830d3d51,gAAAAABoGROX0Ilj2-mPoKc2U-x7lDL-M-Sox1NOPivwMetnT0y7mrGFaiRcAC98BFEOaqluZ7T2QOsdUwaiSPouVAP_TLyyxK-QAt788w8lBxZUWrsd41k=,gAAAAABoGROXL912qrKkO6sYL1qkEn5uaxpODdCDNWfenM43Y8LP58dTuBVRGlixLKG3f3u9c08Tz_L7w4VXWKo2Ord4qWXaug==
